Session ID,Session Start Date,Session End Date,Session Duration,Session Location,Session Talent,Session QA,Session Day,Film ID,Film International Title,Film Original Title,Film Year,Film Duration,Film Directors,Director Biography,Film Synopsis (en),Film Credits (en),Film Genres,Film Sections,Film Categories,Film Awards,Film Types,Film Languages,Film Countries,Film URL
1786-film_session,2024-10-05T20:30:00,2024-10-05T22:12:00,102,Sala Tramuntana Meliá,False,False,2024-10-05,5816-film,Steppenwolf,Steppenwolf,2023,102,Adilkhan Yerzhanov,,"Tamara searches for her missing son in a small town consumed by unrest and violence. In a desperate attempt to recover him, she decides to offer a reward to an amoral investigator whose methods prove to be very sadistic. Determined to go the distance, Tamara decides to complete the search no matter what it takes, and she will do it with the violent detective. A surprising Kazakh neo-western with echoes of <em>No Country for Old Men</em>.&nbsp;","<strong>Director</strong>&nbsp;<br />Adilkhan Yerzhanov&nbsp;<br /><strong>Writer</strong><br />Adilkhan Yerzhanov&nbsp;<br /><strong>Cinematography&nbsp;</strong><br />Yerkіnbek Ptyraliyev&nbsp;<br /><strong>Editor</strong><br />Arif Tleuzhanov, Adilkhan Yerzhanov&nbsp;<br /><strong>With</strong><br />Berіk Aitzhanov, Anna Starchenko, Azamat Nigmanov&nbsp;",Fiction,Òrbita,,,Feature film,Kazakh,Kazakhstan,https://sitgesfilmfestival.com/en/film/2024/steppenwolf
1708-film_session,2024-10-05T20:45:00,2024-10-05T23:10:00,145,Cinema Casino Prado,True,False,2024-10-05,5890-film,La sustancia (The Substance),La sustancia (The Substance),2024,140,,,,,Fiction,Sitges Collection,,,Feature film,English,United Kingdom of Great Britain and Northern Ireland (the),https://sitgesfilmfestival.com/en/film/2024/sustancia-substance
1890-film_session,2024-10-05T21:00:00,2024-10-05T22:39:00,99,Sala Llevant,False,False,2024-10-05,6066-film,Monster on a plane,Monster on a plane,2024,99,Ezra Tsegaye,,"On board a plane, a mysterious creature from faraway lands wakes up and starts attacking the passengers. As if that weren't enough, a ruthless killer is also hiding among them.",,,Brigadoon,,,Feature film,English,Germany,https://sitgesfilmfestival.com/en/film/2024/monster-on-plane
1751-film_session,2024-10-05T21:00:00,2024-10-05T22:44:00,104,Cinema Escorxador,True,False,2024-10-05,5732-film,Oddity,Oddity,2023,99,Damian  Mc Carthy,"Award-winning short film director who in 2020 made a name for himself internationally withCaveat, his debut feature-length horror film.","A year after her twin sister is brutally murdered on a remote rural estate, Darcy, a self-proclaimed psychic and curio collector, pays an unexpected visit to her brother-in-law and his new girlfriend. Darcy senses that her sister's death hides some sort of secret, and she is determined to uncover the sinister truth in the company of a macabre wooden doll.","<strong>Director</strong> <br />Damian McCarthy  <br /><strong>Writer</strong> <br />Damian McCarthy  <br /><strong>Cinematography</strong> <br />Colm Hogan  <br /><strong>Editor</strong> <br />Brian Philip Davis  <br /><strong>With</strong> <br />Gwilym Lee, Carolyn Bracken, Tadhg Murphy",Fiction,Panorama,,,Feature film,English,Ireland,https://sitgesfilmfestival.com/en/film/2024/oddity
1594-film_session,2024-10-05T22:30:00,2024-10-06T00:27:00,117,Sala Auditori Meliá,True,False,2024-10-05,6169-film,Apocalypse Z: The Beginning of the End,Apocalipsis Z: El principio del fin,2023,112,Carles Torrens,,,,Fiction,Sitges Collection,,,Feature film,Spanish,Spain,https://sitgesfilmfestival.com/en/film/2024/apocalipsis-z-principio-fin
1600-film_session,2024-10-05T22:45:00,2024-10-06T00:21:00,96,Sala Tramuntana Meliá,False,False,2024-10-05,5740-film,Basileia,Basileia,2024,96,Isabella Torre,"Italian filmmaker, writer and actress. In 2018, she wrote, directed and starred in her first short film,Nymphs, which premiered at the Venice Film Festival.","In the rugged, mist-shrouded Italian mountains of the Aspromonte in the Calabria region, a ruthless archaeologist and his assistants are searching for an ancient treasure. However, their excavations will unleash some mysterious mythological creatures that will permanently change the lives of all the inhabitants of this remote rural area. A fascinating and peculiar new twist on the folk horror subgenre.","<strong>Director</strong><br />Isabella Torre<br /><strong>Writer</strong><br />Isabella Torre&nbsp;<br /><strong>Cinematography</strong>&nbsp;<br />M&eacute;lanie Akoka<br /><strong>Editor</strong><br />Jonas Carpignano&nbsp;<br /><strong>With</strong><br />Elliott Crosset Hove, Angela Fontana, Koudous Seihon",Fiction,Oficial Fantàstic Competició,,,Feature film,Italian; English; Danish,Italy; Sweden,https://sitgesfilmfestival.com/en/film/2024/basileia
1889-film_session,2024-10-05T23:00:00,2024-10-06T00:22:00,82,Sala Llevant,False,False,2024-10-05,6064-film,Marisa y Gomoso,Marisa y Gomoso,2023,82,Pablo Parés,,"Marisa, the star of the children's show Marisa y Gomoso est&aacute;n de fiesta, separates from her long-time partner and returns to her childhood neighborhood. After reuniting with Gomoso, she will try to adapt to her new life in the suburbs of Buenos Aires.",,,Brigadoon,,,Feature film,Spanish,Argentina,https://sitgesfilmfestival.com/en/film/2024/marisa-gomoso
1752-film_session,2024-10-05T23:15:00,2024-10-06T01:19:00,124,Cinema Escorxador,True,False,2024-10-05,6115-film,Párvulos,Párvulos,2024,119,Isaac Ezban,"A Mexican screenwriter and director. His debut feature, The Incident (2014), was selected at Cannes. His second film, The Similars, picked up the Blood Window Award at Sitges 2015.","Three brothers struggle to survive in a secluded country house after their parents leave, never to return. Little by little, we begin to perceive strange details, signs that the world as we know it has undergone some sort of terrible metamorphosis. The worst of it all is in their basement, where the boys hide a sinister secret. A unique coming-of-age movie with a tone that swings between a dark fairy tale and the most sordid apocalyptic cinema.","<strong>Director</strong><br />Isaac Ezban<br /><strong>Writer</strong><br />Isaac Ezban, Ricardo Aguado-Fentanes<br /><strong>Cinematography</strong><br />Rodrigo Sandoval<br /><strong>Editor</strong><br />Oscar Figueroa<br /><strong>With</strong><br />F&eacute;lix Farid Escalante, Leonardo Cervantes, Mateo Ortega",Fiction,Panorama,,,Feature film,Spanish,Mexico,https://sitgesfilmfestival.com/en/film/2024/parvulos
1622-film_session,2024-10-05T23:30:00,2024-10-06T00:51:00,81,Cinema Casino Prado,True,False,2024-10-05,5675-film,Confession,Kokuhaku,2024,76,Nobuhiro Yamashita,"Award-winning Japanese director and screenwriter known for films likeLinda Linda Linda(2005),La La La at Rock Bottom(2015) andLet’s Go Karaoke!(2023).","Two mountain climbing friends, Asai and Ryu Ji-Yeong, are trapped in the middle of a storm following an accident. Ryu Ji-Yeong, seriously believing that they are close to death, decides to reveal a secret and confesses to a heinous murder he committed as a teenager. However, the two mountaineers survive, and the relationship between them will gradually become strained as they wait to be rescued.","<strong>Director</strong><br />Nobuhiro Yamashita&nbsp;<br /><strong>Writer</strong><br />Shuji Yuki, Ryo Takada&nbsp;<br /><strong>Cinematography</strong><br />Shinya Kimura&nbsp;<br /><strong>Editor</strong><br />Daisuke Imai&nbsp;<br /><strong>With</strong><br />Toma Ikuta, Yang Ik-june, Nao",Fiction,Òrbita,,,Feature film,Japanese; Korean,Japan,https://sitgesfilmfestival.com/en/film/2024/confession
1702-film_session,2024-10-06T01:00:00,2024-10-06T05:43:00,283,Sala Auditori Meliá,True,False,2024-10-06,5690-film,Krazy House,Krazy House,2024,87,Steffen Haars,Dutch directing duo known for their unbridled humor and outbursts of violence. Their best known work is the diptych formed by NewKids Turbo (2010) and New Kids Nitro (2011).,"Bernie is an extremely devout religious man and family man living in a 1990s American sitcom. However, his fun and idyllic family life is cut short by the appearance of a group of three Russian workers who are actually criminals wanted by the police. The directors of <em>New Kids Turbo</em> are back with a wild comedy featuring a cast headed by Nick Frost and Alicia Silverstone.","<strong>Director</strong><br />Steffen Haars, Flip Van der Kuil&nbsp;<br /><strong>Writer</strong><br />Steffen Haars, Flip Van der Kuil&nbsp;<br /><strong>Cinematography</strong><br />Joris Kerbosch	&nbsp;<br /><strong>Editor</strong><br />Ren&eacute; van Berge Henegouwen, Flip Van der Kuil&nbsp;<br /><strong>With</strong><br />Nick Frost, Alicia Silverstone, Kevin Connolly&nbsp;",Fiction,Midnight X-Treme,,,Feature film,English; Russian,Netherlands (the),https://sitgesfilmfestival.com/en/film/2024/krazy-house
1702-film_session,2024-10-06T01:00:00,2024-10-06T05:43:00,283,Sala Auditori Meliá,True,False,2024-10-06,6114-film,Jimmy & Stiggs,Jimmy & Stiggs,2024,80,Joe Begos,"He made his first film, Almost Human, in the winter of 2012 in his home state of Rhode Island, and has been making feature films ever since.","Jimmy Lang, a totally out-of-control horror movie director, has become a drug addict who lives as a homebound recluse. On one of his regular nights out partying, Jimmy is visited by a group of violent extraterrestrials. After making a decision to take on the aliens, he calls Stiggs, his best friend, looking for help. Joe Begos returns to Sitges with a lysergic, punk horror and sci-fi party starring none other than himself.","<strong>Director</strong><br />Joe Begos<br /><strong>Writer</strong><br />Joe Begos<br /><strong>Cinematography</strong><br />Brian Sowell, Mike Testin<br /><strong>Editor</strong><br />Josh Ethier<br /><strong>With</strong><br />Joe Begos, Matt Mercer, James Russo",Fiction,Midnight X-Treme,,,Feature film,English,United States of America (the),https://sitgesfilmfestival.com/en/film/2024/jimmy-stiggs
1702-film_session,2024-10-06T01:00:00,2024-10-06T05:43:00,283,Sala Auditori Meliá,True,False,2024-10-06,6180-film,Plastic Guns,Les Pistolets en Plastique,2024,95,Jean-Christophe Meurisse,,,,Fiction,Midnight X-Treme,,,Feature film,French,France,https://sitgesfilmfestival.com/en/film/2024/plastic-guns
